Complexity,Loss,Equation
1,0.028577674,"g"
2,0.0009760767,"exp(xy)"
3,0.00014481823,"z / xy"
4,1.309028e-5,"exp(x / y)"
5,3.9074644e-6,"(y - x) / xy"
7,9.951898e-7,"(z + (y + y)) / xy"
8,3.1525994e-7,"exp(x / x) / (y - z)"
9,3.11261e-7,"exp(exp(g / x)) / (y - z)"
10,1.3118783e-7,"exp(x / (y - (b + (z / z))))"
12,1.5495566e-8,"exp((z / ((xy + z) / z)) - exp(exp(y)))"
18,1.5340518e-8,"exp(((z / ((xy + (z - b)) / z)) / exp(exp(y))) - exp(exp(xy)))"
20,3.1553085e-12,"0.031242227"
24,3.1551118e-12,"y * (0.031242227 / y)"
